Cut-Off Date,Data Source,Data Source_MappedName,Country Reporter,Country Reporter_MappedName,Port Reporter,Port Reporter_MappedName,Country Partner,Country Partner_MappedName,Trade Direction,Trade Direction_MappedName,Product,Product_MappedName,Product Origin,Product Origin_MappedName,Quantity,Quantity Unit,Quantity Unit_MappedName,Quantity Unit multiplier,Date Reporter,Shipper,Shipper_MappedName,Receiver,Receiver_MappedName,Value,Currency,Currency_MappedName,Value Unit Multiplier,HS Code,HS Code Description,Quantity 2,Quantity 2 Unit,Quantity 2 Unit_MappedName,Quantity 2 Unit multiplier
2024-01-01,dnexr,Dnext Research,VEN,Venezuela,,,USA,United States,Import,Import,SBS,Soybean,,,13500.0,MT,Metric Ton,1.0,2024-01-01,,,,,,,,,1201900000,,,,,
2024-08-01,dnexr,Dnext Research,VEN,Venezuela,,,USA,United States,Import,Import,SBM,Soybean Meal,,,5500.0,MT,Metric Ton,1.0,2024-08-01,,,,,,,,,2304009010,,,,,
2022-09-01,dnexr,Dnext Research,VEN,Venezuela,,,NLD,Netherlands,Export,Export,,Not Available,,,450000.0,MT,Metric Ton,1.0,2022-09-01,,,,,,,,,7203100000,,,,,
2023-11-01,dnexr,Dnext Research,VEN,Venezuela,,,USA,United States,Import,Import,SBS,Soybean,,,0.12,MT,Metric Ton,1.0,2023-11-01,,,,,,,,,1201900000,,,,,
2021-07-01,dnexr,Dnext Research,VEN,Venezuela,,,COL,Colombia,Export,Export,POL,Palm Oil,,,340.0,MT,Metric Ton,1.0,2021-07-01,,,,,,,,,1511100000,,,,,
2024-08-01,dnexr,Dnext Research,VEN,Venezuela,,,USA,United States,Import,Import,SBM,Soybean Meal,,,20000.0,MT,Metric Ton,1.0,2024-08-01,,,,,,,,,2304009010,,,,,
2024-08-01,dnexr,Dnext Research,VEN,Venezuela,,,USA,United States,Import,Import,SBM,Soybean Meal,,,17875.0,MT,Metric Ton,1.0,2024-08-01,,,,,,,,,2304009010,,,,,
2023-11-01,dnexr,Dnext Research,VEN,Venezuela,,,USA,United States,Import,Import,SBS,Soybean,,,27725.2,MT,Metric Ton,1.0,2023-11-01,,,,,,,,,1201900000,,,,,
2022-12-01,dnexr,Dnext Research,VEN,Venezuela,,,CHN,China,Export,Export,,Not Available,,,302870.0,MT,Metric Ton,1.0,2022-12-01,,,,,,,,,7203100000,,,,,
2021-07-01,dnexr,Dnext Research,VEN,Venezuela,,,COL,Colombia,Export,Export,POL,Palm Oil,,,340.0,MT,Metric Ton,1.0,2021-07-01,,,,,,,,,1511100000,,,,,
2024-02-01,dnexr,Dnext Research,VEN,Venezuela,,,USA,United States,Import,Import,SBS,Soybean,,,59996.01,MT,Metric Ton,1.0,2024-02-01,,,,,,,,,1201900000,,,,,
2024-08-01,dnexr,Dnext Research,VEN,Venezuela,,,ARG,Argentina,Import,Import,SBM,Soybean Meal,,,18000.0,MT,Metric Ton,1.0,2024-08-01,,,,,,,,,2304009010,,,,,
2024-01-01,dnexr,Dnext Research,VEN,Venezuela,,,USA,United States,Import,Import,SBS,Soybean,,,10000.0,MT,Metric Ton,1.0,2024-01-01,,,,,,,,,1201900000,,,,,
2022-12-01,dnexr,Dnext Research,VEN,Venezuela,,,SWE,Sweden,Export,Export,,Not Available,,,51920.0,MT,Metric Ton,1.0,2022-12-01,,,,,,,,,7203100000,,,,,
2022-04-01,dnexr,Dnext Research,VEN,Venezuela,,,TUR,Turkey,Export,Export,,Not Available,,,250000.0,MT,Metric Ton,1.0,2022-04-01,,,,,,,,,7203100000,,,,,
2024-08-01,dnexr,Dnext Research,VEN,Venezuela,,,USA,United States,Import,Import,SBM,Soybean Meal,,,5500.0,MT,Metric Ton,1.0,2024-08-01,,,,,,,,,2304009010,,,,,
2024-01-01,dnexr,Dnext Research,VEN,Venezuela,,,USA,United States,Import,Import,SBS,Soybean,,,15000.0,MT,Metric Ton,1.0,2024-01-01,,,,,,,,,1201900000,,,,,
2024-01-01,dnexr,Dnext Research,VEN,Venezuela,,,USA,United States,Import,Import,SBS,Soybean,,,10000.0,MT,Metric Ton,1.0,2024-01-01,,,,,,,,,1201900000,,,,,
2024-08-01,dnexr,Dnext Research,VEN,Venezuela,,,COL,Colombia,Import,Import,SBM,Soybean Meal,,,338.1,MT,Metric Ton,1.0,2024-08-01,,,,,,,,,2304009090,,,,,
2024-08-01,dnexr,Dnext Research,VEN,Venezuela,,,USA,United States,Import,Import,SBM,Soybean Meal,,,8800.0,MT,Metric Ton,1.0,2024-08-01,,,,,,,,,2304009010,,,,,
2024-08-01,dnexr,Dnext Research,VEN,Venezuela,,,USA,United States,Import,Import,SBM,Soybean Meal,,,22000.0,MT,Metric Ton,1.0,2024-08-01,,,,,,,,,2304009010,,,,,
2024-05-01,dnexr,Dnext Research,VEN,Venezuela,,,TUR,Turkey,Export,Export,,Not Available,,,180000.0,MT,Metric Ton,1.0,2024-05-01,,,,,,,,,7203100000,,,,,
2023-12-01,dnexr,Dnext Research,VEN,Venezuela,,,USA,United States,Import,Import,SBS,Soybean,,,0.07,MT,Metric Ton,1.0,2023-12-01,,,,,,,,,1201900000,,,,,
2022-07-01,dnexr,Dnext Research,VEN,Venezuela,,,ESP,Spain,Export,Export,,Not Available,,,70000.0,MT,Metric Ton,1.0,2022-07-01,,,,,,,,,7203100000,,,,,
2024-02-01,dnexr,Dnext Research,VEN,Venezuela,,,USA,United States,Import,Import,SBS,Soybean,,,10000.0,MT,Metric Ton,1.0,2024-02-01,,,,,,,,,1201900000,,,,,
2022-05-01,dnexr,Dnext Research,VEN,Venezuela,,,PRT,Portugal,Export,Export,,Not Available,,,450000.0,MT,Metric Ton,1.0,2022-05-01,,,,,,,,,7203100000,,,,,
2022-06-01,dnexr,Dnext Research,VEN,Venezuela,,,TUR,Turkey,Export,Export,,Not Available,,,450000.0,MT,Metric Ton,1.0,2022-06-01,,,,,,,,,7203100000,,,,,
2023-05-01,dnexr,Dnext Research,VEN,Venezuela,,,PRT,Portugal,Export,Export,,Not Available,,,70000.0,MT,Metric Ton,1.0,2023-05-01,,,,,,,,,7203100000,,,,,
2024-08-01,dnexr,Dnext Research,VEN,Venezuela,,,USA,United States,Import,Import,SBM,Soybean Meal,,,10679.27,MT,Metric Ton,1.0,2024-08-01,,,,,,,,,2304009010,,,,,
2022-06-01,dnexr,Dnext Research,VEN,Venezuela,,,TUR,Turkey,Export,Export,,Not Available,,,180000.0,MT,Metric Ton,1.0,2022-06-01,,,,,,,,,7203100000,,,,,
2022-06-01,dnexr,Dnext Research,VEN,Venezuela,,,ESP,Spain,Export,Export,,Not Available,,,70000.0,MT,Metric Ton,1.0,2022-06-01,,,,,,,,,7203100000,,,,,
2024-01-01,dnexr,Dnext Research,VEN,Venezuela,,,USA,United States,Import,Import,SBS,Soybean,,,15000.0,MT,Metric Ton,1.0,2024-01-01,,,,,,,,,1201900000,,,,,
2024-01-01,dnexr,Dnext Research,VEN,Venezuela,,,USA,United States,Import,Import,SBS,Soybean,,,6546.49,MT,Metric Ton,1.0,2024-01-01,,,,,,,,,1201900000,,,,,
2022-05-01,dnexr,Dnext Research,VEN,Venezuela,,,CHN,China,Export,Export,,Not Available,,,250000.0,MT,Metric Ton,1.0,2022-05-01,,,,,,,,,7203100000,,,,,
2024-08-01,dnexr,Dnext Research,VEN,Venezuela,,,USA,United States,Import,Import,SBM,Soybean Meal,,,38500.0,MT,Metric Ton,1.0,2024-08-01,,,,,,,,,2304009010,,,,,
2024-08-01,dnexr,Dnext Research,VEN,Venezuela,,,USA,United States,Import,Import,SBM,Soybean Meal,,,3630.0,MT,Metric Ton,1.0,2024-08-01,,,,,,,,,2304009010,,,,,
2021-07-01,dnexr,Dnext Research,VEN,Venezuela,,,COL,Colombia,Export,Export,POL,Palm Oil,,,341.2,MT,Metric Ton,1.0,2021-07-01,,,,,,,,,1511100000,,,,,
2024-08-01,dnexr,Dnext Research,VEN,Venezuela,,,USA,United States,Import,Import,SBM,Soybean Meal,,,17875.0,MT,Metric Ton,1.0,2024-08-01,,,,,,,,,2304009010,,,,,
2023-11-01,dnexr,Dnext Research,VEN,Venezuela,,,USA,United States,Import,Import,SBS,Soybean,,,12100.0,MT,Metric Ton,1.0,2023-11-01,,,,,,,,,1201900000,,,,,
2023-11-01,dnexr,Dnext Research,VEN,Venezuela,,,USA,United States,Import,Import,SBS,Soybean,,,88000.72,MT,Metric Ton,1.0,2023-11-01,,,,,,,,,1201900000,,,,,
2022-06-01,dnexr,Dnext Research,VEN,Venezuela,,,TUR,Turkey,Export,Export,,Not Available,,,279530.0,MT,Metric Ton,1.0,2022-06-01,,,,,,,,,7203100000,,,,,
2022-11-01,dnexr,Dnext Research,VEN,Venezuela,,,TUR,Turkey,Export,Export,,Not Available,,,450000.0,MT,Metric Ton,1.0,2022-11-01,,,,,,,,,7203100000,,,,,
2023-04-01,dnexr,Dnext Research,VEN,Venezuela,,,NLD,Netherlands,Export,Export,,Not Available,,,350000.0,MT,Metric Ton,1.0,2023-04-01,,,,,,,,,7203100000,,,,,
2022-12-01,dnexr,Dnext Research,VEN,Venezuela,,,SWE,Sweden,Export,Export,,Not Available,,,290380.0,MT,Metric Ton,1.0,2022-12-01,,,,,,,,,7203100000,,,,,
2023-11-01,dnexr,Dnext Research,VEN,Venezuela,,,USA,United States,Import,Import,SBS,Soybean,,,4400.0,MT,Metric Ton,1.0,2023-11-01,,,,,,,,,1201900000,,,,,
2024-08-01,dnexr,Dnext Research,VEN,Venezuela,,,ARG,Argentina,Import,Import,SBM,Soybean Meal,,,21150.0,MT,Metric Ton,1.0,2024-08-01,,,,,,,,,2304009010,,,,,
2024-08-01,dnexr,Dnext Research,VEN,Venezuela,,,ESP,Spain,Export,Export,,Not Available,,,60000.0,MT,Metric Ton,1.0,2024-08-01,,,,,,,,,7203100000,,,,,
2024-08-01,dnexr,Dnext Research,VEN,Venezuela,,,USA,United States,Import,Import,SBM,Soybean Meal,,,11731.67,MT,Metric Ton,1.0,2024-08-01,,,,,,,,,2304009010,,,,,
2023-11-01,dnexr,Dnext Research,VEN,Venezuela,,,USA,United States,Import,Import,SBS,Soybean,,,11000.0,MT,Metric Ton,1.0,2023-11-01,,,,,,,,,1201900000,,,,,
2024-08-01,dnexr,Dnext Research,VEN,Venezuela,,,USA,United States,Import,Import,SBM,Soybean Meal,,,10000.0,MT,Metric Ton,1.0,2024-08-01,,,,,,,,,2304009010,,,,,
2024-08-01,dnexr,Dnext Research,VEN,Venezuela,,,USA,United States,Import,Import,SBM,Soybean Meal,,,31500.0,MT,Metric Ton,1.0,2024-08-01,,,,,,,,,2304009010,,,,,
